Name film,graduation year,Rate IMDB,Rate Metacritic,Budget,Cashier's fees
Energy after sell action.,1955,4.5,93.5,58297617.38,459840140.81
Never raise reality community plan me term.,2013,1.1,74.1,23518849.06,425420553.52
Organization test clear.,2000,4.1,48.0,17820191.38,454316253.25
Need relationship difficult professor amount we.,2016,6.5,34.6,85278283.93,178694708.73
Prove media kitchen protect middle.,1982,3.4,56.4,85870000.5,348532532.14
Democratic return bad between team.,1973,9.8,63.0,73490459.58,465140724.0
Season sort allow before nothing.,1965,5.6,23.4,10721760.01,466588265.45
Key get watch protect threat music.,1967,4.6,63.0,70469404.82,249092051.23
Paper notice happy somebody.,1961,7.8,91.1,8931071.51,498754362.62
Dark soldier risk.,1992,1.3,16.5,65355609.34,321434557.89
Hair yet concern around total.,1989,1.8,23.2,22807371.68,6367291.05
Mouth edge quite institution take spring tree.,1958,6.0,76.9,90767289.88,109642378.56
All even prevent to be give recent.,1985,7.6,8.4,69496054.77,302663130.31
Campaign weight protect within question also bed.,1969,5.0,62.0,16696402.3,301521233.87
Doctor popular policy. Store son ten right.,1988,4.7,37.0,38484981.84,114186097.39
Less public special by.,1999,9.9,33.8,62674356.69,314319453.17
Your thousand often population son.,1957,1.4,19.2,53833953.33,254962041.35
Difference its size democratic.,1954,1.1,58.5,56726712.45,291967750.71
Fine budget society drop future find place.,1988,9.2,51.8,1862810.29,144185054.02
Expect likely beautiful between.,2019,9.2,36.9,68595082.08,177005954.88
Own current miss to dream.,2008,9.1,74.9,42040527.53,8338560.2
Major up pattern business.,1990,9.5,70.6,5576151.52,327356274.48
Always education the why cup recently political.,1963,7.9,1.7,51612903.07,21874676.18
Scientist increase result thus partner.,1981,4.3,80.1,36834800.51,497285039.98
Black black bring degree bar late.,1962,4.7,7.8,93033968.69,358877837.15
Yard fish fire pay kitchen single.,1958,9.7,9.4,16209082.38,15369250.6
Example city yourself discover.,1968,5.3,58.7,54167541.25,290738878.42
Option agent that skin develop bring tell hard.,1950,4.0,1.0,90821938.52,120005888.58
Assume art court guess always north modern stay.,1960,6.6,40.4,21550008.54,447139542.8
Certain whether natural stay travel police.,1960,5.2,2.0,63099852.13,442820905.57
Certainly now term clearly. Against mean gun can.,1981,5.0,94.7,13154912.84,20262722.39
Occur bill be yourself serve quite edge.,1995,7.0,18.1,54711265.62,484006111.82
Movie feeling fast office past teacher leader.,1979,1.6,18.6,91032470.13,34399271.92
Drop doctor indicate. Conference ahead if.,1972,2.6,50.2,6603303.69,293447249.9
Four front country foreign them matter early.,2013,3.4,43.2,15977727.26,144467785.99
Natural bring maybe across gun area western.,2001,2.0,35.4,85801925.35,384460014.41
Concern myself garden media less.,2014,9.1,19.6,70300755.4,136097056.1
Authority produce return pattern begin number.,1996,6.0,45.9,34648314.3,212106090.82
Term pay career leader they example training.,1965,7.0,8.6,31692562.26,367738463.15
Impact too game high heavy plan responsibility.,1962,8.6,78.9,79817435.04,139128132.92
People another many red.,1977,2.4,27.3,76705896.28,217960521.98
Standard accept personal sound effect.,2010,3.3,2.1,12448902.51,106337922.36
Reach grow choose energy happy.,2020,2.5,26.5,14375509.53,9027091.14
Night white scientist later of many history.,1984,2.7,53.7,58276106.2,117965265.92
Every learn however road pick nice when store.,2011,4.6,38.6,97824748.07,291643673.23
Strategy strong himself join skill head.,1993,3.2,99.1,92901605.36,404283225.04
Environmental bill bank create.,1987,6.8,69.4,93935274.2,142996241.5
Might particularly law person wish together.,1961,5.1,38.2,98005855.32,76356238.05
Note structure trade.,1960,4.1,73.6,9545072.2,350957878.45
Their continue fact.,1970,6.2,80.7,22356935.82,100690714.23
Care role others officer real method officer.,2003,3.8,12.6,8829902.74,135157141.37
Test wall affect poor cultural traditional.,1981,5.2,32.6,83070232.54,263220220.59
Hard modern finally final sea cup above.,1988,6.2,49.4,53320100.25,348296795.22
Gun total case. Season increase memory.,1988,7.3,58.6,7418691.14,325610588.09
Field special suggest create.,1968,6.6,21.9,75065586.52,19345591.59
Appear southern doctor into work popular.,1954,5.8,60.6,73498811.92,2733682.29
Drop east wait others.,1992,3.6,49.3,93057009.49,161825858.6
Interesting special care house get.,2012,7.1,50.6,93459446.35,481209864.44
Mother instead own individual. Focus top within.,1983,2.7,36.5,27495133.16,199822316.1
Middle nor vote less.,2017,5.0,81.2,68800461.48,482692172.91
Four turn way provide kind bill dog.,2002,5.7,72.9,87738353.41,237882244.99
Low worry spend seem.,2008,3.4,62.9,12679183.51,219400457.9
Event need price source strong education relate.,1991,5.2,30.3,84629575.35,355295339.62
Born wall movie thing almost.,1969,3.2,34.8,6259768.93,24287676.86
Economy actually study.,1965,2.7,10.7,3236400.46,206851620.31
Bank hot green court account occur enough there.,1964,9.9,22.4,28297703.49,451709500.35
Note address big collection city never.,1989,3.1,92.9,85172694.09,407273664.99
South society man lead consider spring.,1977,9.8,61.1,9660533.83,472844268.07
Question arm radio suffer piece approach.,1997,6.1,93.3,1434328.52,432473766.9
Price consumer safe use note miss election.,1989,7.8,58.9,42106073.8,225134244.08
Structure red last would situation.,1991,5.1,19.4,1346412.72,23406444.19
Nature second laugh cell enjoy.,1985,7.5,60.4,51649347.01,430012933.0
Election result any bar challenge level.,1964,6.3,49.5,36348928.19,91982056.56
Eight total according interview exactly.,2007,5.3,59.3,95162995.05,487243541.33
Day mind herself rise feeling.,1975,6.9,97.7,97867231.49,349470581.74
Off policy green executive between.,1952,2.2,33.5,64744612.75,3113849.52
True really own.,1971,3.4,96.0,80022331.08,213506958.06
Exist together change debate want affect own.,2001,6.5,77.7,56802951.83,395177636.39
Push pull next memory ago professional sing.,2017,9.3,97.7,5618144.28,141523585.89
A thing often street. Health doctor born leave.,1968,8.2,38.1,17818833.58,265393793.7
Focus reveal research smile government relate it.,1977,6.9,9.5,15184810.28,472531946.33
Source in system close plan kind effort many.,1956,6.6,75.2,11446865.12,282706366.72
Reveal employee involve check role reflect.,1979,2.7,93.7,10382947.72,467991864.59
Always TV writer pretty huge fast.,1957,8.8,84.6,59980905.09,481160973.46
Fly develop usually voice.,1955,2.9,60.3,96590117.0,163577404.83
Field couple approach pattern others forget.,1954,6.1,66.5,38988095.42,301294501.98
North free strategy prepare push me.,1992,6.0,16.0,58794995.18,344286853.5
Second hard onto chair. Study student yet doctor.,2005,4.0,73.2,11247451.26,112882789.88
Simple first lay.,1996,5.1,60.7,75313030.63,381335624.02
Position parent short bed training room no.,1965,6.8,54.2,45872997.4,453872970.31
Community manage bed look direction voice.,1965,2.0,80.0,59855914.97,480547902.68
Ready Mr newspaper owner.,1950,9.9,70.1,13123242.6,129578225.69
Along wide like traditional international south.,1975,9.6,95.5,61183573.67,412837566.89
Last election great though across new.,2005,6.9,90.3,7688177.99,115809072.88
None blood particularly process air message.,2022,5.7,80.7,60702479.92,305199351.86
Question chance return show again suffer box.,2000,4.1,78.1,5269138.77,291341954.82
Much forget deal section majority choice enjoy.,1979,9.2,97.0,56048105.36,172976889.45
Require consider media him often power.,1994,3.1,11.6,65233438.0,168851735.36
Power clear draw do fast listen message before.,1972,3.0,36.4,8277375.08,47543628.96
Strong yet senior next.,1956,4.1,63.3,48897651.49,175723581.41
Military would budget idea every whose add hit.,2022,6.4,50.8,97031665.32,73257181.42
Toward pay network writer.,1980,8.8,57.3,30539971.15,455563284.68
Apply great peace mouth director here.,2008,7.8,26.3,5519997.2,151073313.59
Action benefit travel true reason.,1971,2.9,66.3,30755770.76,194741162.96
Remain you street. Garden matter policy Mr less.,1965,2.8,69.9,34607875.53,101118565.66
Book keep song investment spend brother.,2019,7.6,1.1,34132482.56,76721858.17
Have wish finish although now leg.,1985,8.5,11.9,28025183.7,343641070.51
Just suddenly southern.,1966,9.8,12.8,63930752.87,162224100.86
Property recognize show focus.,1972,2.5,10.8,5327408.85,437497760.98
About face wrong at.,2015,9.9,91.3,82717976.31,280913518.86
Leader many suffer ball actually.,2005,5.5,13.3,86913149.87,461994758.67
Year act occur argue respond.,1951,9.6,59.9,56894490.93,273624539.85
Protect environment real word building.,2008,6.3,36.2,86426633.88,383845893.06
Blue just sell recent rich ago sit.,2003,7.7,51.3,33118024.83,320374001.64
Only reveal development wait raise beyond risk.,1961,3.2,24.2,92542801.26,261302494.12
Future necessary range major.,1968,3.4,83.8,47225708.43,136990299.2
Across upon throughout. Watch cut short whether.,2013,4.2,54.7,26485266.67,240458832.74
Financial dog kind society discussion.,2022,3.9,22.8,88291303.46,83385221.89
Great degree describe they book few.,1989,4.3,5.4,20778498.71,111064915.9
Political next successful risk week them be.,2010,6.4,70.9,23088790.37,84555647.34
Particular act return above when.,1958,9.3,59.4,59946136.49,316662452.04
Fast mother health material tonight.,1994,9.5,41.9,95334196.86,449034384.85
Avoid church international strategy white event.,2005,8.2,9.2,68065177.41,193693925.07
Join we performance ok everyone.,2009,4.2,81.8,15472752.16,84058014.84
Lot similar physical those lay often soldier.,1968,2.2,47.3,10827301.91,134826832.3
Young I task something you simple.,1960,4.0,12.4,47035182.36,237602091.03
Article decade number cause threat.,2022,9.3,87.1,37017246.46,182667651.65
Class plan mission collection full.,1997,2.9,71.9,21946055.03,264292790.93
Marriage bag realize morning top.,1971,9.6,24.1,71414624.01,10809377.26
Ever center though. Other institution at hand.,1984,7.4,92.1,76972769.46,100358853.99
Start imagine table yes so radio on.,1987,8.0,85.6,86172678.52,205241519.33
Follow travel loss military.,1999,5.4,20.7,38432910.19,479376510.31
Amount star indicate day site training.,1962,2.0,70.1,99682985.69,65375746.88
Customer available discuss imagine open same.,1952,8.3,22.0,66753088.27,290304346.05
Better property material later purpose can store.,1976,2.5,76.7,45293571.79,52678601.77
Bill organization article game.,1988,4.1,62.1,31697612.73,494727799.21
With memory adult.,2020,9.0,18.3,52745285.2,309068295.66
Argue talk onto cut over civil such.,2001,8.9,98.7,90567238.43,165230658.19
Create fund we once site.,1956,3.4,4.1,45940659.18,222609645.81
Eight camera if fill raise.,1966,10.0,41.7,63562051.09,473509243.51
Stock will we local.,1996,1.1,84.2,1397919.67,45543269.48
Discuss single card other need.,2007,5.5,83.6,89185499.7,155048553.85
Since property interest not. Term ahead likely.,2018,1.0,24.4,87093598.94,336236451.41
Claim religious seem just tell present how.,1986,9.5,94.4,78582216.63,423496225.79
Suddenly player station middle.,2013,8.5,10.6,52766744.14,58162668.03
Chair year great population.,1980,1.2,3.4,14591890.63,440205143.43
Great country work under rock skill green.,1997,8.7,11.4,77061280.67,156459369.68
Land soon main tonight citizen.,1976,3.9,76.9,50354269.84,339229669.98
Around fact how dream action customer enter.,1953,9.3,37.2,3047286.97,77775551.2
That space almost true.,1950,5.1,99.7,16044037.8,437811895.77
Ground task own research.,1977,3.5,97.7,55015548.47,51116773.9
Way late take in.,1980,7.0,91.3,59941888.2,12337868.81
Bad consider central along hit may.,2017,9.3,60.4,64313706.09,319425545.18
Reduce agree parent detail.,1981,4.1,55.1,50799976.87,11344475.49
Western night exactly.,1991,1.5,40.0,81688298.9,438363012.97
Social mother particularly service out.,2022,1.1,67.5,27789434.39,486334547.68
Institution will factor your.,1985,9.4,20.2,57612398.33,354105120.58
Event affect heart collection window less who.,1992,5.2,97.9,14994395.89,188061549.18
Father rich mouth edge green experience.,1963,3.5,96.1,27003930.08,283412514.16
Tree thought cell main husband player later.,2005,5.2,89.5,95420116.69,42698255.92
Method daughter quickly head wish capital.,2016,6.6,64.9,91415606.6,89028266.31
Relate ball responsibility.,1967,5.2,13.7,95560403.3,368147495.7
Issue pressure in material time.,1972,4.0,48.4,91048760.78,264920884.67
Issue center score act.,1992,2.1,96.6,63475684.28,103265387.54
Bar from see floor these always light notice.,1966,9.0,28.0,76279685.28,128365897.68
Instead bad TV course.,1985,2.7,28.1,99023459.96,454374539.85
Against exactly suffer director house very enter.,1974,4.0,81.4,64730788.74,91466030.41
Better protect military throw whether.,1967,4.4,86.5,8603499.74,225317684.19
Impact last say chair.,2021,4.0,19.0,91518614.67,71444588.21
Policy feeling perhaps add matter though nice.,2006,6.0,80.0,19451363.62,482284677.64
Staff manager from whatever.,1993,4.4,38.8,14198770.15,466903399.71
Laugh appear chance work away.,1983,9.7,25.4,2489821.72,325485949.02
Recently piece keep than half tell right.,1995,7.3,86.7,56736617.18,321339042.6
Same radio that thus view accept.,1976,6.0,97.6,33053366.28,438516124.39
Need likely American kid manager.,1986,4.6,80.3,39562067.81,70237413.25
Organization weight herself itself.,2008,6.5,96.5,54541411.03,417427375.27
Technology energy dog education build serve join.,2004,10.0,42.1,28071306.38,275450407.86
She sense great medical mention.,2018,2.0,83.6,14024921.82,434454005.84
Conference she leg build pass.,1970,4.2,66.6,17728467.76,121740519.68
Mouth bar indeed within.,1960,4.9,41.8,29076696.87,167015095.77
According present project onto.,2022,3.0,83.9,76244621.91,15633821.33
Sometimes account card visit include.,1976,2.6,95.4,96140217.78,90371536.36
Figure big support its thank.,1978,7.8,28.5,27563836.13,309425198.86
Expert movie high everyone.,1983,9.6,63.2,77811260.79,191488855.69
Mouth off boy. Southern everyone one.,1964,5.8,8.0,56697856.88,231785961.8
Field plant fish heavy range great difficult.,1970,2.1,80.7,7375995.7,457742686.04
Eat fast hand according.,2022,6.5,75.3,44493237.93,124548310.14
Phone model carry sister economy development.,1971,4.3,49.3,15805504.84,370519470.72
Pretty ground southern challenge style.,2023,9.1,53.1,27546144.83,181035561.02
Threat guy until later choice.,1995,3.5,17.8,78068673.39,279031702.87
Edge area will today. Off board opportunity.,1989,5.0,73.5,13060898.66,341537142.68
Line ability morning certain. Main us sure.,1975,8.2,81.6,14724363.73,78482056.33
Although nation call those new.,2019,8.3,78.4,56873957.27,304037016.11
Customer apply task expert black position.,2017,8.3,53.6,30574204.36,209831718.78
Middle yard project majority. At culture itself.,2006,4.2,47.6,18323277.84,456173099.63
Practice pass career health.,1974,4.8,29.8,70207473.21,105460307.06
General son book close field able.,1953,4.8,31.6,97199322.42,188518672.22
Research lead those street page night town.,2013,1.8,3.2,88418915.46,241829425.68
Any letter specific.,2012,7.5,86.3,76691612.18,435045011.96
National thing around enough mother third.,1962,5.1,72.8,62209660.88,404084694.78
Hair prove sometimes save dream window bar.,1999,6.2,87.0,69782108.09,496468190.05
Beautiful area free guess base matter standard.,2020,9.9,22.7,92406968.8,5241195.54
East off establish leg tonight.,1971,1.9,58.9,94564204.09,135430171.2
Wish now tell speech poor.,1958,2.9,58.3,78666610.0,352579650.66
Think cause section religious turn.,1963,9.7,4.9,82364960.91,70071316.58
Value able skill after can.,1971,7.2,60.2,62203972.97,66118522.17
Next five wear business describe sort step.,1960,1.4,97.4,49149701.9,112868690.21
Decide bag military school.,1979,1.5,51.9,91574599.85,75720407.32
Child move camera.,1981,7.7,66.6,63317156.09,86985257.67
Hotel miss reach industry teach move alone.,2017,1.9,99.3,79441206.18,436177390.84
Into word continue arm part.,1987,2.7,66.7,54075843.25,453656662.14
Court law unit they decide power.,2001,2.4,68.5,76087664.48,213052085.46
At term if hundred.,1998,7.4,98.6,74137560.61,87548469.09
From student move democratic.,1998,3.2,84.5,77410526.24,386348560.74
Already defense short land suggest.,2017,4.4,33.7,31706340.61,82900734.59
Set interesting note politics four perhaps.,1955,1.7,50.5,85366494.71,365240261.58
By cold more eat kitchen yeah.,2016,8.9,65.8,20989023.08,464133887.29
List become reveal perform manage.,2006,7.1,67.2,80894785.73,55020768.09
Win partner catch film dark present agreement.,1983,1.4,53.0,7753235.89,55299641.75
Defense image western expert baby.,1960,2.9,61.6,14003491.07,77207715.2
Today she thought hotel establish let.,1996,3.5,7.8,61663605.99,254648608.66
Travel lot contain national recognize expert.,1988,5.4,23.2,34514137.92,146309437.4
Security over keep Democrat.,2007,9.0,38.6,17758189.67,282363592.01
Both standard third right.,1961,3.2,52.1,23474135.04,77582985.94
Yet feel individual.,2008,1.5,40.0,9781432.58,400865349.16
First car watch however page in early.,1966,8.2,71.5,80102290.39,482061581.14
Majority deep agree nation.,2000,4.1,40.8,35310413.15,478974520.19
On big land station week production.,1982,6.0,99.8,5808947.37,364930166.73
Wear more music low find store home raise.,1993,3.6,16.4,33494783.84,64328789.68
Why station morning must base. Rate resource two.,1969,2.4,56.8,3080193.81,96595520.47
Unit discover sell contain serious final.,2007,6.0,94.4,71306174.64,367144258.83
Computer capital cell approach sport lose dark.,2020,5.6,86.0,65065177.54,67656575.65
Sister international evidence share.,1980,3.7,85.5,5701473.28,301495650.87
Society very night education after card minute.,1986,8.7,65.1,28162441.91,298164415.47
Score compare thing ok expert.,2023,4.5,57.0,50449915.65,471853451.19
American smile throughout poor. Put lawyer there.,1994,1.4,67.5,95602708.84,305020576.76
Each word student TV economy.,1981,4.3,4.4,57301054.61,456156762.88
Record sometimes manage yourself.,1962,8.4,10.0,47870031.79,466642061.39
Across people she majority.,2005,2.0,3.5,69570358.34,147747711.45
Scene federal level kind own us expect.,1989,6.9,37.9,74476656.92,396023712.96
Necessary middle loss.,1991,4.3,44.6,37266375.5,4371930.47
Mother fund long start a near.,1967,8.1,76.2,86451326.8,312114361.66
Let democratic check watch certainly.,1968,5.5,99.1,91934040.6,447019287.75
Order help kitchen item his put.,1977,2.1,79.3,43966489.54,270108384.74
Reality heart run remember expert loss.,1965,8.1,63.3,19405536.43,121809406.2
His bed baby according enjoy policy memory.,1966,5.4,13.9,62107189.56,148855113.13
Rich food program dream.,2016,3.2,16.5,4417180.9,119640564.01
Along without various water ground realize.,1976,3.3,2.7,60643016.01,319831095.86
Share later charge technology everyone evening.,1983,8.9,9.7,91578777.91,223095688.77
Later someone huge central rock.,2022,8.8,78.1,67228402.64,236179350.75
Order figure effort girl fear feeling.,1964,3.0,90.4,46079816.63,339530096.08
Member stuff red idea week production.,1980,6.1,66.1,35913091.67,114701323.46
Home new every chance live mention certain.,1967,4.8,46.0,62459734.91,189337868.27
Prevent third interview read number.,1984,7.8,61.2,53982603.25,371878947.57
And night do season learn.,2002,2.0,29.5,77889226.59,287789703.44
Base Congress gun box performance action.,1954,6.1,77.1,37787115.65,380836981.73
Democratic study eat society production rule.,1953,2.2,41.6,68847649.83,50633710.04
Throw star lead foreign.,2017,4.7,1.1,24455723.59,21309305.75
Debate discussion could Democrat watch.,1954,1.9,17.2,95753436.93,386770371.92
More serious theory race tree.,2012,1.6,90.3,91148300.57,397456448.98
Establish less hear fact.,1997,3.0,58.0,60250088.03,54417455.86
Town through couple forward figure middle fast.,2002,5.4,5.5,62587927.59,109644943.05
Might tend majority they.,1984,7.2,61.8,80101760.65,29781055.98
Need professor let shoulder almost.,1979,7.2,83.2,57732642.53,479758356.34
Sign talk than system apply.,1998,2.1,18.1,56167105.51,122357337.59
Since piece century force.,2004,8.1,75.8,30038010.7,186308999.43
Imagine deal friend shoulder identify season.,2000,5.8,37.8,44990205.52,478744410.42
Part research may never focus.,1997,4.3,59.9,50052062.69,19414836.73
Town over door hundred. None through seek.,2023,4.6,85.9,58306926.35,70362392.48
Purpose game seem challenge factor.,1960,9.2,49.4,6445661.84,328566855.07
Course poor lose total.,1990,5.2,10.7,30688059.42,199303376.37
Whatever large national point trip never.,1960,5.9,75.4,42542788.98,398045449.28
Personal condition compare have town wish.,1998,7.0,80.4,35471176.93,169362488.37
Break prevent teacher until.,1972,6.7,48.1,95103087.25,322440504.94
Case leave north treat economic reduce.,1972,4.1,7.3,59439805.84,395339126.91
Realize watch our none up west.,1986,2.0,10.0,25615269.66,292082652.22
Score possible five modern.,2006,2.6,85.0,58578136.22,46900473.5
Late just prove summer interview protect.,1959,4.2,63.4,74160879.06,115940226.56
Explain work really claim college great.,2022,6.1,90.6,96573284.01,360566092.4
Kid or mean guess environmental north.,1976,3.4,75.1,35791050.79,92980350.96
Talk center authority drop final war hotel.,2018,3.4,34.6,30620693.79,34572564.14
Dream market many gas.,1981,9.7,45.5,17083757.98,483209700.43
Forward start newspaper act.,1991,7.0,71.8,85577105.23,262014535.17
Benefit power quality work effort.,1966,5.6,38.8,28828035.36,327335169.14
Heart east unit cold.,1994,8.9,68.2,57945309.22,32266949.2
Personal through whom environment artist.,2005,7.0,61.2,21610179.87,181959364.26
Attack event type newspaper southern.,1966,6.2,68.3,53103268.12,197638811.02
Test should once still ago according image.,1976,4.1,45.7,61959405.13,361477614.49
Purpose street feeling move cell.,1960,1.1,81.2,27830011.96,16998922.81
Kitchen hour serious.,2020,8.8,3.1,89504279.04,144705171.95
Play space college maybe them property.,1993,3.8,31.0,30709844.74,408883852.37
Former individual knowledge see miss many.,1966,9.9,21.1,98426372.24,99078233.62
Rate third task cup.,2011,7.9,55.3,77289610.85,233779235.0
Cold school enter blood.,1986,2.0,31.4,61537855.95,274789869.44
Evidence single simply water investment.,1970,5.4,33.6,39343086.04,312049836.23
Yet both practice.,1980,4.5,67.5,39241958.41,431743793.77
Garden five sell commercial old.,2019,2.8,38.7,37181514.02,212401097.35
Choose sense machine yourself.,1973,1.7,64.1,85648827.5,476650629.42
Always care threat. Although ten whose color.,2004,10.0,91.4,71901051.43,83052422.17
Way level different drop almost.,2017,4.9,48.9,2044063.23,185435466.3
Help prepare real these good might.,1951,7.5,9.8,38543735.43,383803961.43
Join either campaign beyond whole.,1988,3.4,79.9,59715896.9,22529596.04
Already south well which.,2014,1.2,34.9,40646311.82,171008109.7
List either professional million wide.,1996,2.9,69.6,34485579.83,167418445.72
My act open center trade decision push.,2010,8.2,96.9,92795891.42,162101698.63
Real increase tax maybe.,2022,4.1,64.4,47435924.37,454453943.78
Best use energy.,2010,2.2,41.5,71037822.75,481171663.78
Fill build wall do home make serious much.,2017,3.3,69.9,12123116.25,418929555.11
Contain view hope training usually people.,2018,7.3,48.2,8809349.68,327541877.72
You mind hot tax true.,1976,2.5,66.3,50324987.07,142965102.66
Car identify kitchen both short house.,2016,6.1,78.7,5133970.26,332041953.63
Old fund radio them black truth.,1958,2.7,94.0,73339266.25,445560962.39
Success his tough trade.,1998,7.5,40.9,9997636.93,39030531.36
Matter say improve like television war.,1987,7.0,59.6,19311111.44,315218944.85
Enjoy young run radio specific miss but.,2006,8.2,88.0,36000633.54,375420894.07
Couple baby popular hold see.,1986,9.3,74.7,71881777.93,145742563.48
Allow own accept ok catch usually.,2019,1.5,7.9,78474715.24,140751917.79
Less tend network course result agreement.,2013,3.1,47.8,10049458.36,469397405.14
Edge to high. Become late official whatever line.,2015,4.1,49.4,16717993.33,1718571.23
Develop successful responsibility reach.,2000,8.3,74.6,91636269.38,489083839.99
Eye up today billion.,2004,3.9,37.9,16580987.2,261821539.56
Yeah new represent why two quite east.,1996,9.2,80.3,15170010.09,226461212.39
Explain guy him although.,1979,4.5,41.0,59974994.24,239479057.65
Democrat student wide expect.,2002,7.9,88.4,43476738.6,294299543.5
Build speech candidate arrive.,1956,1.2,14.3,56561886.45,7563915.76
Sometimes other human data gun degree.,1972,2.0,19.5,67030039.86,103199325.49
Wide food agent.,1959,6.3,8.3,37189670.37,262879225.37
Than summer among change charge to sea.,2005,4.8,79.5,8980279.46,356520964.45
Democratic our others voice move research.,1990,4.0,22.9,74242793.44,428015699.67
Team interesting bed back.,1979,4.4,8.3,56882984.55,261383120.05
Onto include stuff blood fall.,2000,3.1,89.7,43121670.42,482169897.01
Wall create relate.,1952,4.4,90.4,89300997.34,165578363.88
Clearly lawyer behavior unit fund begin run.,1979,10.0,77.6,65435204.76,424896700.35
Defense deep seem finish office.,1950,6.8,10.2,51196905.14,101376401.21
Step since north yet number air.,1995,1.8,97.2,67679625.75,113592892.85
Billion nor anyone day soldier manage.,2008,2.7,12.8,5201616.87,340507569.48
Follow beautiful in person glass.,1974,2.0,97.0,79577479.95,139897256.9
Still movement Congress little political.,2019,4.5,43.7,41691006.76,107344655.63
Follow difficult career share. Expert ok manager.,1965,6.4,85.3,4005834.55,71044207.41
But campaign view.,1994,2.7,59.9,12989857.44,425483164.86
Time civil actually color far.,2000,3.9,52.0,76205215.67,285717727.19
Site sea upon dinner.,1950,5.3,79.3,30835347.39,69497405.69
Drop shoulder every structure.,2014,5.5,28.1,55487022.36,176244478.76
Population area election store her class.,2006,5.8,55.3,11365979.86,197368139.59
Spend cost when simple.,1953,8.2,50.1,31475207.63,20012086.1
Face start ball offer maintain.,2006,6.9,18.8,76818867.63,432665463.56
Activity sea according find.,1975,4.5,85.2,99042320.32,68067055.46
Partner cost safe break thus.,1991,5.8,61.5,54528961.82,30192948.89
Call garden father between tax.,2015,8.0,54.5,34916922.66,40633192.15
Need clear shoulder director.,2011,4.3,42.0,46517698.38,432471339.7
Hundred various few personal case draw left.,1966,1.1,24.4,39659347.77,200559872.67
Upon thought in.,1981,6.0,36.5,51457929.49,247573758.85
Cause campaign training respond Mrs draw.,1989,9.9,87.8,91597414.53,161688723.83
General fly back single.,2000,5.8,78.1,12460452.52,108092218.1
Billion than whether media alone so else.,1970,9.6,50.7,80990318.4,261586513.09
Allow trade attorney young would or.,1992,9.6,38.6,26450894.52,458521785.6
Employee main determine particular officer.,1986,6.8,9.9,9787006.57,283955205.49
Success impact special simply.,1990,4.0,75.0,32727739.18,231784788.92
Real become wall view father provide.,1959,7.2,72.0,29190133.85,130181156.28
Writer man sing.,2002,8.4,48.5,85300352.63,276682262.42
Science nearly bill try show safe hot.,1992,1.6,79.5,55191472.63,106470869.55
Certain avoid time others continue.,2017,3.8,13.1,69141615.77,173455333.16
Exactly yeah give myself create compare.,2010,2.4,31.1,98687633.61,360599185.93
School suffer coach star position fine.,1998,3.7,95.8,78152209.33,105135377.65
Carry bank upon way list something affect.,1976,6.6,9.7,85936579.11,171442255.58
Technology television price later.,2010,7.9,21.1,97561845.14,5937341.85
Last far unit herself.,1984,5.1,70.4,21395024.74,267059728.4
Last after edge last game kind.,1990,4.4,76.7,21134055.91,327082662.23
Between pick popular few. Model true fear wrong.,2008,5.6,58.2,42123297.49,175602344.28
Save wind short simply laugh then.,2002,6.1,72.7,30277128.77,105043620.01
Kind lose set start power turn seat.,1992,9.2,89.1,75450924.5,281362108.19
Not quality until effort view everybody.,1994,3.5,58.6,1493260.77,344035034.09
Never happen method likely training class cut.,2017,6.2,73.6,20934925.02,171312799.08
Information manager agent or operation know.,1977,5.1,28.5,24943170.82,344522461.16
Start issue through politics study couple keep.,2004,5.8,36.7,90813666.56,91529470.31
Daughter themselves animal.,2008,8.4,93.2,4662491.99,154489927.47
Several whose policy first sure.,1975,5.6,34.1,82440366.71,118011174.57
Than size serve develop.,1979,3.2,47.2,3758437.85,223601403.47
Interest move across.,1975,2.9,47.1,73980774.59,204544880.4
Conference cultural find.,1963,6.7,65.5,12092653.62,325107427.9
Surface nature thank share specific military TV.,2021,8.3,25.6,84600981.37,366277454.63
Within number figure knowledge activity.,1963,1.6,66.0,87360916.26,139451910.93
Quite century rule across seem.,1979,5.4,68.2,6530353.58,393312299.93
Listen final her prepare police official drop.,1969,1.2,41.3,62528253.66,265292489.36
History follow compare avoid lot lose fast.,1997,6.2,35.7,44631770.97,141332651.74
Offer doctor should option western.,1987,5.1,10.8,68879953.55,18021391.24
Sell mind space social control small.,1976,1.4,46.2,92980184.0,353880542.98
Behind collection fall person stop cause.,1978,5.4,9.1,96639740.82,111019972.99
Pass word three night in by after.,2012,1.6,56.3,17266412.75,213827882.8
Control represent experience long common.,1982,5.8,42.7,22839186.9,424529556.47
Million politics physical total fear that check.,1979,5.0,82.3,72491254.29,222496885.31
And get can than expert organization play.,1967,7.0,65.0,24661342.91,288287141.46
Almost me large spring yourself require.,2006,3.0,16.6,35316523.5,234786193.51
Walk threat theory toward any front.,2013,8.2,21.7,20476025.36,458439067.45
Bag break edge something sort build.,2021,1.4,27.5,2366923.82,358862196.74
Form over herself economy real.,2023,4.6,93.7,76565422.72,143021550.69
Home buy million soon term cost hundred car.,1976,5.9,95.3,78320636.99,236455782.15
Skill pass then enough put.,1991,8.4,6.7,88048399.18,367082832.36
